UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0036800800320|CTL BR MRG V-O SLD            |GR|POUND |0001000|001|00001000000|0159
0036800801320|CTL BR MRG V-O SPR 4ST        |GR|POUND |0001000|001|00001000000|0160
0036800802420|CTL BR MRG V-O SFT SPR TB     |GR|POUND |0001000|001|00001000000|0161
0036800804420|CTL BR MRG C-O SPR 4ST        |GR|POUND |0001000|001|00001000000|0162
0041130004300|CTL BR MRG V-O WHP SPR TB     |GR|POUND |0002000|001|00001000000|0163
0041130649200|CTL BR MRG C-O 4ST            |GR|POUND |0001000|001|00001000000|0164
0041130659040|CTL BR MRG V-O SFT TB         |GR|POUND |0001000|001|00001000000|0165
0041130659080|CTL BR MRG V-O 4ST            |GR|POUND |0001000|001|00001000000|0166
0041163670020|CTL BR MRG C-O 4ST            |GR|POUND |0001000|001|00001000000|0167
0041163670040|CTL BR MRG V-O SFT TB         |GR|POUND |0001000|001|00001000000|0168
0041163670050|CTL BR MRG V-O 4ST            |GR|POUND |0001000|001|00001000000|0169
0041163671010|CTL BR MRG V-O SFT SPR TB     |GR|POUND |0002000|001|00001000000|0170
0041240114740|CTL BR MRG C-O 4ST            |GR|POUND |0001000|001|00001000000|0171
0041282831990|CTL BR MRG C-O 4ST            |GR|POUND |0001000|001|00001000000|0172
0070038002900|CTL BR MRG V-O SFT TB         |GR|POUND |0001000|001|00001000000|0173
0070038362260|CTL BR MRG ANIMAL FAT 4ST     |GR|POUND |0001000|001|00001000000|0174
0070038362280|CTL BR MRG V-O 4ST            |GR|POUND |0001000|001|00001000000|0175
0070038362400|CTL BR MRG SY-O SLD           |GR|POUND |0001000|001|00001000000|0176
0070038362450|CTL BR MRG V-O SFT TB         |GR|POUND |0001000|001|00001000000|0177
0070038362550|CTL BR MRG V-O SPR 4ST        |GR|POUND |0001000|001|00001000000|0178
0070038362570|CTL BR MRG C-O 4ST            |GR|POUND |0001000|001|00001000000|0179
0070038362700|CTL BR MRG V-O LT SFT SPR TB  |GR|POUND |0002000|001|00001000000|0180
0070038362710|CTL BR MRG V-O LT SFT SPR TB  |GR|POUND |0003000|001|00001000000|0181
0075450084860|CTL BR MRG V-O LT SFT SPR TB  |GR|POUND |0003000|001|00001000000|0182
0075450084880|CTL BR MRG V-O LT SFT SPR TB  |GR|POUND |0002000|001|00001000000|0183
0075450084940|CTL BR MRG C-O 4ST            |GR|POUND |0001000|001|00001000000|0184
0075450084960|CTL BR MRG V-O 4ST            |GR|POUND |0001000|001|00001000000|0185
0075450084990|CTL BR MRG SY-O SFT 2TB       |GR|POUND |0001000|001|00001000000|0186
0075450085000|CTL BR MRG SY-O SFT TB        |GR|POUND |0001000|001|00001000000|0187
0011161570070|GENERIC MRG V-O SFT SPR TB    |GR|POUND |0002000|001|00001000000|0188
0011161570110|GENERIC MRG V-O SPR 4ST       |GR|POUND |0001000|001|00001000000|0189
0027400102810|GENERIC MRG V-O SPR 4ST       |GR|POUND |0001000|001|00001000000|0190
0041163676050|GENERIC MRG V-O SFT SPR TB    |GR|POUND |0001000|001|00001000000|0191
0041429416750|GENERIC MRG V-O SPR 4ST       |GR|POUND |0001000|001|00001000000|0192
