0100390022222002920198520YNNN NNN000021901  
0100390022222002920198521YNNN NNN000021901  
0100390022222002920198523YNNN NNN000021901  
0100390022222002920198528NNYN NNN000019501  
0100390022222002920198530YNNN NNN000019501  
0100450022222002920198640NNNN YNN000025301  
0100390022222002930198520YNNN NNN000021901  
0100390022222002930198521YNNN NNN000021901  
0100390022222002930198527YNNN NNN000019501  
0100390022222002930198528NNYN NNN000019501  
0100450022222002930198640NNNN YNN000025301  
0100390022222002940198625NNNNLNNY000024901  
0100450022222002940198635YNNN NNN000034201  
0100450022222002940198636YNNN NNY000034201  
0100450022222002940198637YNNN NNY000029901  
0100450022222002940198638YNNN NNY000029901  
0100450022222002940198639NNNY NNY000026901  
0100450022222002940198640NNNY YNY000026901  
0100450022222002940198641NNNY NNY000026901  
0100450022222002940198642NNNY NNY000026901  
0100450022222002940198643NNNY NNY000026901  
0100450022222002940198644NNNY NNY000026901  
0100450022222002940198706NNNY NNY000033901  
0100450022222002940198708NNNY NNY000035301  
0100450022222002940198709NNNY NNN000035301  
0100390022222002950198625NNNNLNNY000024901  
0100450022222002950198635YNNN NNN000034201  
0100450022222002950198636YNNN NNY000034201  
0100450022222002950198637YNNN NNY000029901  
0100450022222002950198638YNNN NNY000029901  
0100450022222002950198639NNNY NNY000026901  
0100450022222002950198640NNNY YNY000034201  
0100450022222002950198641NNNY NNY000026901  
0100450022222002950198642NNNY NNY000026901  
0100450022222002950198643NNNY NNY000026901  
0100450022222002950198644NNNY NNY000026901  
0100390022222002970198517NNNNLNNN000000000  
0100390022222002970198543NNNY NNY000012901  
0100390022222002970198544NNNYLNNY000012901  
0100390022222002970198546NNNY NNY000012901  
0100390022222002970198547NNNNLNNY000011901  
0100390022222002970198550YNNN NNY000012901  
0100450022222002970198640NNNN YNN000015501  
0100390022222002980198517NNNNLNNN000000000  
0100390022222002980198543NNNY NNY000012901  
0100390022222002980198544NNNYLNNY000012901  
0100390022222002980198546NNNY NNY000012901  
0100390022222002980198547NNNNLNNY000011901  
0100450022222002980198640NNNN YNN000015501  
0100390022222024210198543NNNNLNNY000011701  
0100390022222024210198603NNNY NNN000012501  
0100390022222024210198604NNNY NNN000012501  
0100390022222024210198605NNNY NNN000012501  
0100390022222024210198606NNNY NNN000012501  
0100390022222024210198608YNNNLNNY000009901  
0100390022222024210198609NNYN NNN000012501  
0100390022222026610198543NNNNLNNY000011701  
0100390022222026610198603NNNY NNN000012501  
0100390022222026610198604NNNY NNN000012501  
0100390022222026610198605NNNY NNN000012501  
0100390022222026610198606NNNY NNN000012501  
