ERIM Market|Store ID|UPC|ERIM Week|End Aisle Display Code|Front Aisle Display Code|In-Aisle Display Code|Other Display Code|Advertising Code|In-Ad Coupon Code|Point-of-Purchase Code|Special Price Code|Price|Price Multiple
01|0039|0016000402400|198542|N|N|N|N| |Y|N|N|0000155|01
01|0039|0016000402400|198605|N|N|N|N|M|N|N|Y|0000129|01
01|0016|0016000402400|198608|N|N|N|N|M|N|N|Y|0000129|01
01|0018|0016000402400|198608|N|N|N|N|M|N|N|Y|0000129|01
01|0021|0016000402400|198608|N|N|N|N|M|N|N|Y|0000129|01
01|0024|0016000402400|198608|N|N|N|N|M|N|N|Y|0000129|01
01|0026|0016000402400|198608|N|N|N|N|M|N|N|Y|0000129|01
01|0029|0016000402400|198608|N|N|N|N|M|N|N|Y|0000129|01
01|0039|0016000402400|198632|N|N|N|N|L|N|N|Y|0000127|01
01|0045|0016000402400|198713|N|N|N|N|M|N|N|Y|0000127|01
01|0039|0016000402500|198542|N|N|N|N| |Y|N|N|0000155|01
01|0039|0016000402500|198605|N|N|N|N|M|N|N|Y|0000129|01
01|0016|0016000402500|198608|N|N|N|N|M|N|N|Y|0000129|01
01|0018|0016000402500|198608|N|N|N|N|M|N|N|Y|0000129|01
01|0021|0016000402500|198608|N|N|N|N|M|N|N|Y|0000129|01
01|0024|0016000402500|198608|N|N|N|N|M|N|N|Y|0000129|01
01|0026|0016000402500|198608|N|N|N|N|M|N|N|Y|0000129|01
01|0029|0016000402500|198608|N|N|N|N|M|N|N|Y|0000129|01
01|0039|0016000402500|198632|N|N|N|N|L|N|N|Y|0000127|01
01|0045|0016000402500|198713|N|N|N|N|M|N|N|Y|0000127|01
01|0003|0016000402500|198731|N|N|N|N| |Y|N|N|0000447|03
01|0004|0016000402500|198731|N|N|N|N| |Y|N|N|0000447|03
01|0007|0016000402500|198731|N|N|N|N| |Y|N|N|0000447|03
02|0022|0016000402500|198706|N|N|N|N|M|N|N|Y|0000139|01
02|0023|0016000402500|198706|N|N|N|N|M|N|N|Y|0000139|01
02|0025|0016000402500|198706|N|N|N|N|M|N|N|Y|0000139|01
02|0027|0016000402500|198706|N|N|N|Y|M|N|N|Y|0000129|01
02|0028|0016000402500|198706|N|N|N|N|M|N|N|Y|0000139|01
02|0017|0016000402500|198707|N|N|N|N|M|N|N|Y|0000123|01
02|0019|0016000402500|198707|N|N|N|N|M|N|N|Y|0000123|01
02|0020|0016000402500|198707|N|N|N|N|M|N|N|Y|0000123|01
02|0027|0016000402500|198707|N|N|N|Y| |N|N|Y|0000139|01
02|0028|0016000402500|198707|Y|N|N|N| |N|N|N|0000133|01
02|0041|0016000402500|198707|N|N|N|N|M|N|N|Y|0000123|01
02|0025|0016000402500|198708|Y|N|N|N| |N|N|N|0000159|01
02|0027|0016000402500|198708|N|N|N|Y| |N|N|N|0000133|01
02|0028|0016000402500|198708|Y|N|N|N| |N|N|N|0000133|01
02|0001|0016000402500|198709|N|N|N|N|M|N|N|N|0000133|01
02|0005|0016000402500|198709|N|N|N|N|M|N|N|N|0000133|01
02|0006|0016000402500|198709|N|N|N|N|M|N|N|N|0000133|01
02|0008|0016000402500|198709|N|N|N|N|M|N|N|N|0000133|01
02|0009|0016000402500|198709|N|N|N|N|M|N|N|N|0000133|01
02|0011|0016000402500|198709|N|N|N|N|M|N|N|N|0000133|01
02|0012|0016000402500|198709|N|N|N|N|M|N|N|N|0000133|01
02|0014|0016000402500|198709|N|N|N|N|M|N|N|N|0000133|01
02|0015|0016000402500|198709|N|N|N|N|M|N|N|N|0000133|01
02|0025|0016000402500|198709|Y|N|N|N| |N|N|N|0000159|01
02|0025|0016000402500|198710|Y|N|N|N| |N|N|N|0000159|01
02|0022|0016000402500|198724|N|N|N|N|M|N|N|N|0000133|01
02|0023|0016000402500|198724|N|N|N|N|M|N|N|N|0000133|01
02|0025|0016000402500|198724|N|N|N|N|M|N|N|N|0000133|01
02|0027|0016000402500|198724|N|N|N|N|M|N|N|N|0000133|01
02|0028|0016000402500|198724|N|N|N|N|M|N|N|N|0000133|01
02|0017|0016000402500|198726|N|N|N|N|M|N|N|Y|0000123|01
02|0019|0016000402500|198726|N|N|N|N|M|N|N|Y|0000123|01
02|0020|0016000402500|198726|N|N|N|N|M|N|N|Y|0000123|01
