UPC Number|Description|Weight Code|Weight Description|Weight Amount|Multipack|Equivalency Factor|Report Set Line Number
0070253431260|CTL BR WHT 1P 400S TT         |CT|CT    |0004000|001|00001000000|0222
0070253432400|CTL BR SD/C 2P 330S TT        |CT|CT    |0008000|001|00001000000|0223
0070524014030|CTL BR SD/C 1P 400S TT        |CT|CT    |0004000|001|00001000000|0224
0072740962310|CTL BR SD/C 2P 330S TT        |CT|CT    |0008000|001|00001000000|0225
0073310149010|CTL BR WHT 2P 330S TT         |CT|CT    |0008000|001|00001000000|0226
0011161578400|GENERIC WHT 1P 400S TT        |CT|CT    |0004000|001|00001000000|0228
0013100611720|GENERIC WHT 1P 400S TT        |CT|CT    |0008000|001|00001000000|0229
0041130009190|GENERIC WHT 1P 400S TT        |CT|CT    |0006000|001|00001000000|0230
0041130009800|GENERIC WHT 1P 400S TT        |CT|CT    |0004000|001|00001000000|0231
0041163226050|GENERIC WHT 1P 400S TT        |CT|CT    |0004000|001|00001000000|0232
0041380997480|GENERIC YLW 1P 350S TT        |CT|CT    |0004000|001|00001000000|0233
0070524014100|GENERIC WHT 1P 400S TT        |CT|CT    |0004000|001|00001000000|0234
0070524017000|GENERIC WHT 1P 400S TT        |CT|CT    |0006000|001|00001000000|0235
0072740416070|GENERIC WHT 2P 400S TT        |CT|CT    |0004000|001|00001000000|0236
0072740416230|GENERIC WHT 1P 400S TT        |CT|CT    |0008000|001|00001000000|0237
0073310108520|GENERIC WHT 1P 400S TT        |CT|CT    |0006000|001|00001000000|0238
0073310152000|GENERIC WHT 1P 400S TT        |CT|CT    |0004000|001|00001000000|0239
0074688422540|GENERIC WHT 1P 400S TT UNS    |CT|CT    |0004000|001|00001000000|0240
0074688427120|GENERIC WHT 1P 400S TT UNS    |CT|CT    |0012000|001|00001000000|0241
0074688452540|GENERIC WHT 1P 400S TT        |CT|CT    |0004000|001|00001000000|0242
0078740416010|GENERIC WHT 2P 400S TT        |CT|CT    |0004000|001|00001000000|0243
