0200370011144090670198642YNNN NNN000009901  
0200380011144090670198642NNNY NNN000009901  
0200370011144090670198643YNNN NNN000009901  
0200380011144090670198643NNNY NNN000009901  
0200370011144090670198644YNNN NNN000009901  
0200380011144090670198644NNNY NNN000009901  
0200370011144090670198645YNNN NNN000009901  
0200380011144090670198645NNNY NNN000009901  
0200370011144090670198646YNNNMNNY000007701  
0200380011144090670198646NNNNMNNY000007701  
0200370011144090670198647YNNN NNN000009901  
0200370011144090670198648YNNN NNN000009901  
0200370011144090670198649YNNN NNN000009901  
0200370011144090670198650YNNN NNN000009901  
0200380011144090670198701YNNN NNN000009901  
0200380011144090670198702YNNN NNN000009901  
0200380011144090670198711NNNY NNN000009901  
0200380011144090670198717YNNN NNN000009901  
0200380011144090670198718YNNN NNN000009901  
0100180013100440040198637NNNY NNN000007901  
0100180013100440040198638NNNY NNN000007901  
0100180013100440040198639NNNY NNN000007901  
0100020013100611720198515YNNN NNN000016901  
0100020013100611720198516YNNNLNNY000012901  
0100020013100611720198517YNNN NNN000016901  
0100020013100611720198518YNNN NNN000016901  
0100020013100611720198519YNNN NNN000016901  
0100020013100611720198520YNNN NNN000016901  
0100020013100611720198527YNNN NNN000015901  
0100390022222027560198540NNNY NNY000006901  
0100390022222027560198541NNNY NNY000006901  
0100390022222027560198542NYNN NNY000006901  
0100390022222027560198543NYNNMNNY000006901  
0100390022222027560198603NNNY NNN000007901  
0100390022222027560198604NNNY NNN000007901  
0100390022222027560198605NNNYMNNY000005901  
0100390022222027560198606NNNY NNN000007901  
0100390022222027560198610NNNY NNN000007901  
0100390022222027560198612YNNN NNN000007901  
0100390022222027560198613NNNY NNN000007901  
0100390022222027560198625NNNNMNNY000005901  
0100450022222027560198643NYNN NNY000007301  
0100450022222027560198644NYNN NNY000007301  
0100390022222030160198531NNNY NNY000008901  
0100390022222030160198532NNNY NNY000008901  
0100390022222030160198533NNNYMNNY000008901  
0100390022222030160198534NNNY NNY000008901  
0100390022222030160198624NNNNMNNY000008801  
0100390022222030160198629NNNNMNNY000008301  
0100390022222030160198631NNNNMNNY000007901  
0100450022222030160198636NNNNMNNY000007901  
0100450022222030160198643NNNNMNNY000007701  
0100450022222036550198713NNNNMNNY000007001  
0100160030400000010198611NNNNMNNY000007901  
0100180030400000010198611NNNNMNNY000007901  
0100210030400000010198611NNNNMNNY000007901  
0100240030400000010198611NNNNMNNY000007901  
0100260030400000010198611NNNNMNNY000007901  
0100290030400000010198611NNNNMNNY000007901  
0200300030400000010198510YNNN NNY000008901  
0200220030400000010198520YNNN NNN000009901  
0200270030400000010198520YNNN NNN000009901  
0200280030400000010198520YNNN NNN000009901  
0200220030400000010198521YNNNMNNN000009901  
0200230030400000010198521NYNNMNNN000009901  
0200250030400000010198521YNNNMNNN000009901  
0200270030400000010198521YNNNMNNN000009901  
0200280030400000010198521YNNNMNNN000009901  
0200220030400000010198522YNNN NNN000009901  
0200230030400000010198522NYNN NNN000009901  
0200250030400000010198522YNNN NNN000009901  
0200270030400000010198522YNNN NNN000009901  
0200280030400000010198522YNNN NNN000009901  
0200220030400000010198523YNNN NNN000009901  
0200230030400000010198523NYNN NNN000009901  
0200250030400000010198523YNNN NNN000009901  
0200280030400000010198523YNNN NNN000009901  
0200220030400000010198524YNNN NNN000009901  
0200230030400000010198524NYNN NNN000009901  
0200250030400000010198524YNNN NNN000009901  
0200280030400000010198524YNNN NNN000009901  
0200230030400000010198525NYNN NNN000009901  
0200250030400000010198525YNNN NNN000009901  
0200280030400000010198525YNNN NNN000009901  
0200220030400000010198526YNNN NNN000009901  
0200230030400000010198526NYNN NNN000009901  
0200250030400000010198526YNNN NNN000009901  
0200280030400000010198526YNNN NNN000009901  
0200220030400000010198527YNNN NNN000009901  
0200230030400000010198527NYNN NNN000009901  
0200250030400000010198527YNNN NNN000009901  
