0110003210010001023161002150070801135081001      1110101011100110101010000  
0110004011010102053170404000000000440080801      1101101110100111101000000  
0110005700090001023160702145100101206080801      1111101010101111101000000  
0110007300090002015220403140060901440060801      1001101000000110101000000  
0110009900010000023170102000000000700000501      1100110000000100100000000  
0110010710010001011250303000000000140060701      0000101010100100100000000  
0110011510090001023150506160071001600000901      1111111111101110101000000  
0110012310090002023150603152050801600000801      1111111101100100100000000  
0110013101010000053150804140090901140060701      1111101110101111111010000  
0110014900090000033160802140070501140060501      1111101011001110100000000  
0110015610050100023150504145030401140020601      1101101011100111100000000  
0110017210010000021250301000000000140060901      0000101010000111100000000  
0110018011010000033160805140080901230070801      1111101110101111111010000  
0110019800010000011260201000000000700000501      0000100000100100100000000  
0110020610090000021230201000000000700000501      0000101010100010100000000  
0110021410090100033210202140020401140020501      1100100010100111100000000  
0110022200010000033160806150081101216081001      1111111100000111111010000  
0110023010090000023120703148071001140081101      1111111111100111100000000  
0110024810010100023240901340060801000000000      1100101010100100100000000  
0110025511010000033180201000000000700000301      1100101010100100100000000  
0110026311010000014180302700000301325060801      1000100001100000100000000  
0110027100090000011250201700000401000000000      0000100000000000100000000  
0110028901010000023180302700000901700000501      1000110100000110101000000  
0110029701010000023180602144050401700000501      1101111110101110101000000  
0110030510090000023150401140020601000000000      0000100001000000100000000  
0110031310010001023150603000000000140080801      1100101010100110101010000  
0110032111010000033150502700000201140060501      1101101010100110100000000  
0110033911010001023140405140081001600001101      1111101111100110100000000  
0110034700010200013150302700000501232050501      0000100000000000100000000  
0110035410010001013170202320050201150020301      1111101111100100101000000  
0110036200090701023130403140030701140070701      1100101000100110100000000  
0110037011010000021240502500000501229090701      0001111110100110100000000  
0110039610010000021230702150070301140100501      0000101011100111010000000  
0110040410010000011240401000000000136090601      0000110000100000101000000  
0110042010090000053130702500001001140060801      1111101110101111111010000  
0110043810070000013130603700000301600000301      1110101010101110100010000  
0110044610090102013151206140030501600000501      1111101011100110100000000  
0110045301010000013150401160030901000000000      1110010000000100101000000  
0110046100090100013280401000000000140090601      1111101010000111100000000  
0110047910090001015140604140100801140050801      1100111001100111100000000  
0110048700010100033110505145070801143060501      1111101011100111111010000  
0110050310070000023170702700000501145070501      1100101010100111100000000  
0110051100010000031270501000000000700001001      0000011000000111101000000  
0110052900090100011210201000000000140060301      0000101000100000000000000  
0110053710090000011230103000000000600000501      0000100000100110100000000  
0110055210090000023180302700000301600000501      1110101000000000100000000  
0110057801010000023140502700000501700000501      1111101100101100101000000  
0110058611010000023140502700000501700000501      1111101110100110100000000  
0110060210010001036250703150070901140040801      1100101010100111101000000  
